"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"ConnErr/KICK_AFK";"Kicked due to inactivity";"Вы были отключены за неактивность";"Wegen Inaktivität gekicked";"Exclu pour inactivité";"Expulsado por inactividad";"長時間活動放置を\t理由に\tキックされました";"비활성 상태로 인해 추방됨";"因\t消\t极\t游\t戏\t被\t踢\t出\t战\t斗";"因\t长\t时\t间\t没\t有\t操\t作\t被\t踢\t出\t游\t戏，\t请\t不\t要\t消\t极\t游\t戏。";"Wyrzucono z powodu nieaktywności"
"ConnErr/KICK_EAC";"Kicked by anticheat server. One of the reasons may be lost connection to the server, please restart the game and try again.";"Вы были отключены античит сервером. Причиной может быть разрыв соединения до сервера, пожалуйста перезапустите игру и попробуйте снова";"Durch den Anticheat-Server gekicked. Ein Grund könnte der Verlust der Verbindung zum Server sein, bitte starte das Spiel neu und versuche es erneut.";"Exclu par le serveur d'anticheat. Une des raisons peut être une perte de connexion au serveur, veuillez relancer le jeu et réessayer.";"Expulsado por el servidor anticheat. Una de las razones puede ser la pérdida de conexión con el servidor, por favor reinicia el juego y vuelve a intentarlo.";"アンチチートサーバーによって\tキックされました。\tサーバーからの\t切断が\t原因の\t可能性があります。\tゲームを\t再起動してからお\t試しください。";"안티치트 서버에 의해 추방되었습니다. 서버와의 연결이 끊어진 것이 원인일 수 있으니 게임을 다시 시작한 뒤 다시 시도해주십시오.";"反\t作\t弊\t系\t统\t将\t您\t请\t出\t游\t戏。\t可\t能\t与\t服\t务\t器\t断\t开\t连\t接，\t请\t重\t启\t游\t戏\t后\t再\t次\t尝\t试。";"反\t作\t弊\t程\t序\t将\t您\t请\t出\t游\t戏。\t可\t能\t与\t服\t务\t器\t断\t开\t了\t连\t接，\t推\t荐\t重\t启\t游\t戏\t后\t再\t尝\t试。\t如\t果\t反\t复\t出\t现\t该\t问\t题\t请\t加\t入\tQ\t群\t寻\t求\t帮\t助，\t或\t者\t联\t系\t游\t戏\t客\t服。";"Wyrzucono przez serwer anticheat. Jedną z przyczyn może być utrata połączenia z serwerem, proszę zrestartować grę i spróbować ponownie."
"ConnErr/KICK_KILLING_TEAMMATES";"Kicked for killing teammates";"Вы были отключены от сервера за убийство своих";"Wegen Teamkills gekicked";"Exclu pour avoir tué des alliés";"Expulsado por matar a compañeros de equipo";"チームメイトを\tキルしたことを\t理由に\tキックされました";"아군 사살로 추방당했습니다";"因\t伤\t害\t队\t友\t被\t踢\t出\t战\t斗";"因\t为\t击\t败\t友\t军，\t出\t现\t友\t军\t火\t力\t行\t为\t而\t被\t踢\t出\t游\t戏";"Wyrzucono z powodu zabijania sojuszników"
"ConnErr/DC_KICK_VOTE";"You were kicked as most of the players in battle voted for it";"Вы были отключены от сервера голосами большинства игроков в сессии";"Du wurdest gekickt, da die meisten Spieler in der Schlacht dafür gestimmt haben";"Vous avez été exclu car la plupart des joueurs en bataille l'ont voulu";"Te han expulsado ya que la mayoría de los jugadores de la batalla han votado a favor";"バトル\t内の\tプレイヤーの\t投票の\t大多数により、\tあなたは\tキックされました";"플레이어 투표에 의해 추방되었습니다.";"经\t多\t数\t玩\t家\t投\t票\t同\t意，\t您\t被\t踢\t出\t本\t场\t战\t斗";"你\t被\t多\t数\t玩\t家\t投\t票\t踢\t出\t游\t戏";"Zostałeś wyrzucony, ponieważ większość graczy w bitwie to przegłosowała"
"Loading";"Loading";"Загрузка";"Wird geladen";"Chargement";"Cargando";"読み\t込み\t中";"불러오는 중";"正\t在\t加\t载";"正\t在\t加\t载\t…\t…";"Ładowanie"
"Select contact";"Select a contact";"Выбрать контакт";"Einen Kontakt wählen";"Sélectionner un contact";"Selecciona un contacto";"フレンドリストを\t選択";"연락처 선택";"选\t择\t联\t系\t人";"选\t择\t好\t友";"Wybierz kontrakt"
"Remove contact";"Remove the contact";"Удалить контакт";"Kontakt entfernen";"Retirer le contact";"Eliminar contacto";"フレンドリストから\t削除";"연락처 제외";"移\t除\t联\t系\t人";"移\t除\t好\t友";"Usuń z kontaktów"
"Revoke invite";"Revoke the invitation";"Отозвать приглашение";"Einladung widerrufen";"Retirer l'invitation";"Revocar invitación";"招待を\t取り\t消す";"초대 취소";"取\t消\t邀\t请";"取\t消\t邀\t请";"Wycofaj zaproszenie"
"Add to friends";"Add to your friends list";"Добавить в друзья";"Deiner Freundesliste hinzufügen";"Ajouter à votre liste d'amis";"Añadir a tu lista de amigos";"フレンドリストに\t追加する";"친구 목록에 추가";"添\t加\t至\t好\t友\t列\t表";"添\t加\t该\t用\t户\t为\t好\t友";"Zaproś do listy znajomych"
"contacts/inviteFriend";"Invite friend";"Пригласить друга";"Freund einladen";"Inviter un ami";"Invitar amigo";"フレンドを\t招待する";"친구 초대";"邀\t请\t好\t友";"邀\t请\t好\t友";"Zaproś przyjaciela"
"contacts/friendSearch";"Search for new friends...";"Искать контакты...";"Nach neuen Freunden suchen ...";"Chercher de nouveaux amis…";"Buscar nuevos amigos...";"新しい\tフレンドを\t探す...";"새로운 친구 검색...";"搜\t索\t新\t好\t友\t…\t…";"搜\t索\t新\t的\t好\t友\t…\t…";"Wyszukaj nowych przyjaciół..."
"Invite friends by name or email";"Invite friends: enter name or email";"Зови друзей: введи имя или email";"Freunde einladen: Namen oder E-Mail-Adresse eingeben";"Inviter des amis : saisir le nom ou l'adresse email";"Invitar amigos: introduce el nombre o el correo electrónico";"フレンドを\t招待する: 名前または\tE\tメールを\t入力してください";"친구 초대: 이름 또는 이메일 입력";"邀\t请\t好\t友：\t输\t入\t昵\t称\t或\t邮\t箱\t地\t址";"邀\t请\t好\t友：\t输\t入\t昵\t称\t或\t邮\t箱\t地\t址";"Zaproś przyjaciół: wpisz nazwę lub email"
"contacts/mailInvite";"Search among friends...";"Искать среди друзей...";"Unter Freunden suchen...";"Recherche parmi les amis...";"Buscar entre amigos...";"友達から\t探す...";"친구 목록에서 찾는 중...";"在\t好\t友\t中\t搜\t索\t…";"在\t好\t友\t中\t搜\t索\t…\t…";"Wyszukaj pośród przyjaciół..."
"contactsHdr";"Contacts";"Контакты";"Kontakte";"Contacts";"Contactos";"フレンドリスト";"연락처";"联\t系\t人";"联\t系\t人";"Kontakty"
"contacts";"Send them invitations";"Пошлите им приглашения";"Einladungen senden";"Leur envoyer des invitations";"Enviarles invitaciones";"彼らに\t招待状を\t送る";"초대 보내기";"群\t发\t邀\t请";"群\t发\t邀\t请";"Wyślij im zaproszenia"
"contacts/search_results";"Search results";"Результаты поиска";"Suchergebnisse";"Résultats de recherche";"Resultados de la búsqueda";"検索結果";"검색 결과";"搜\t索\t结\t果";"搜\t索\t结\t果";"Wyniki wyszukiwania"
"contacts/myRejectedRequests";"Your Invitations Rejected";"Отклонённые приглашения";"Deine abgelehnten Einladungen";"Vos invitations rejetées";"Tus invitaciones han sido rechazadas";"招待が\t拒否されました";"거절 받은 초대";"邀\t请\t被\t拒\t绝";"您\t的\t邀\t请\t被\t拒\t绝\t了";"Twoje zaproszenie zostało odrzucone"
"contacts/myBlacklist";"Blocklist";"Блоклист";"Blockierliste";"Liste noire";"Lista negra";"ブロックリスト";"차단 목록";"黑\t名\t单";"黑\t名\t单";"Czarna lista"
"contacts/friends";"Friends";"Друзья";"Freunde";"Amis";"Amigos";"フレンド";"친구";"好\t友";"好\t友";"Znajomi"
"contacts/contacts";"Contacts";"Контакты";"Kontakte";"Contacts";"Contactos";"フレンドリスト";"연락처";"联\t系\t人";"联\t系\t人";"Kontakty"
"contacts/friends/ps5";"Contacts";"Контакты";"Kontakte";"Contacts";"Contactos";"フレンドリスト";"연락처";"联\t系\t人";"联\t系\t人";"Kontakty"
"contacts/friends/ps4";"Contacts";"Контакты";"Kontakte";"Contacts";"Contactos";"フレンドリスト";"연락처";"联\t系\t人";"联\t系\t人";"Kontakty"
"contacts/contacts/ps5";"Friends";"Друзья";"Freunde";"Amis";"Amigos";"フレンド";"친구";"好\t友";"好\t友";"Znajomi"
"contacts/contacts/ps4";"Friends";"Друзья";"Freunde";"Amis";"Amigos";"フレンド";"친구";"好\t友";"好\t友";"Znajomi"
"contacts/requestsToMe";"Friends requests";"Приглашения в друзья";"Freundschaftsanfrage";"Demandes d’amis";"Solicitudes de amistad";"友達\tリクエスト";"친구 요청";"好\t友\t邀\t请";"好\t友\t请\t求";"Zaproszenia do znajomych"
"contacts/myRequests";"Invitations sent";"Отправленные приглашения";"Verschickte Einladungen";"Invitations envoyées";"Invitaciones enviadas";"送った\t招待状";"보낸 요청";"已\t发\t送\t邀\t请";"已\t发\t送\t邀\t请";"Zaproszenie wysłane"
"contacts/rejectedByMe";"Rejected requests";"Отклонённые приглашения";"Abgelehnte Anfragen";"Invitations rejetées";"Solicitudes rechazadas";"拒否された\tリクエスト";"거절한 요청";"已\t被\t拒\t绝\t的\t请\t求";"已\t被\t拒\t绝\t的\t请\t求";"Odrzucone wnioski"
"contacts/list_empty";"No contacts";"Нет контактов";"Keine Kontakte";"Pas de contacts";"Sin contactos";"フレンドリストなし";"연락처 없음";"无\t联\t系\t人";"无\t联\t系\t人";"Brak kontaktów"
"contacts/next_mode";"Next mode";"Следующий режим";"Nächster Modus";"Mode suivant";"Siguiente modo";"次の\tモード";"다음 모드";"下\t个\t模\t式";"下\t个\t模\t式";"Następny tryb"
"contacts/prev_mode";"Previous mode";"Предыдущий режим";"Vorheriger Modus";"Mode précédent";"Modo previo";"前の\tモード";"이전 모드";"上\t个\t模\t式";"上\t个\t模\t式";"Poprzedni tryb"
"Add to blacklist";"Add to blocklist";"Добавить в список заблокированных";"Der Blockierliste hinzufügen";"Ajouter à la liste noire";"Añadir a la lista negra";"ブロックリストに\t追加";"차단 목록에 추가";"添\t至\t黑\t名\t单";"添\t至\t黑\t名\t单";"Dodaj do czarnej listy"
"Add to blacklist/ps5";"Block";"Блокировать";"Blockieren";"Bloquer";"Bloquear";"ブロック";"차단";"拉\t黑";"屏\t蔽";"Zablokuj"
"Add to blacklist/ps4";"Block";"Блокировать";"Blockieren";"Bloquer";"Bloquear";"ぶ\tロック";"차단";"拉\t黑";"屏\t蔽";"Zablokuj"
"Remove from blacklist";"Remove from blocklist";"Удалить из заблокированных";"Entblocken";"Retirer de la Liste noire";"Remover de lista negra";"ブロックリストから\t削除";"차단 목록에서 제외";"从\t黑\t名\t单\t中\t移\t除";"从\t黑\t名\t单\t中\t移\t除";"Usuń z czarnej listy"
"Break approval";"Remove from friends list";"Удалить из друзей";"Von Freunden entfernen";"Retirer de vos amis";"Remover de amigos";"フレンドリストから\t削除";"친구 목록에서 제외";"从\t好\t友\t列\t表\t中\t移\t除";"从\t好\t友\t列\t表\t中\t移\t除";"Usuń z listy znajomych"
"Break approval/ps5";"Remove from contacts list";"Удалить из контактов";"Von der Kontaktliste entfernen";"Supprimer de la liste des contacts";"Eliminar de la lista contactos";"フレンドリストから\t削除";"친구 삭제";"从\t联\t系\t人\t列\t表\t中\t移\t除";"从\t好\t友\t列\t表\t中\t移\t除";"Usuń z listy kontaktów"
"Break approval/ps4";"Remove from contacts list";"Удалить из контактов";"Von der Kontaktliste entfernen";"Supprimer de la liste des contacts";"Eliminar de la lista contactos";"フレンドリストから\t削除";"친구 삭제";"从\t联\t系\t人\t列\t表\t中\t移\t除";"从\t好\t友\t列\t表\t中\t移\t除";"Usuń z listy kontaktów"
"Reject Invite";"Reject Invitation";"Отклонить приглашение";"Einladung ablehnen";"Rejeter l'invitation";"Rechazar Invitación";"招待を\t拒否する";"초대 거절";"拒\t绝\t邀\t请";"拒\t绝\t邀\t请";"Wycofaj zaproszenie"
"Approve Invite";"Accept Invitation";"Принять приглашение";"Einladung annehmen";"Accepter l'invitation";"Aceptar Invitación";"招待を\t承諾する";"초대 수락";"接\t受\t邀\t请";"接\t受\t邀\t请";"Przyjmij zaproszenie"
"Cancel Invite";"Revoke Invitation";"Отозвать приглашение";"Einladung widerrufen";"Retirer l'invitation";"Revocar Invitación";"招待を\t取り\t消す";"초대 취소";"取\t消\t邀\t请";"取\t消\t邀\t请";"Wycofaj zaproszenie"
"Invite to friends";"Invite to your friends list";"Пригласить в друзья";"Zu deiner Freundesliste einladen";"Demander à ajouter à votre liste d'amis";"Invitar a tu lista de amigos";"フレンドリストに\t招待する";"친구 목록에 초대";"邀\t请\t至\t好\t友\t列\t表";"邀\t请\t至\t好\t友\t列\t表";"Zaproś do listy znajomych"
"Invite to friends/ps5";"Invite to your contacts list";"Пригласить в контакты";"Zu deiner Freundesliste einladen";"Inviter dans la liste des contacts";"Invitar a tu lista de contactos";"フレンドリストに\t招待";"친구 목록에 초대";"邀\t请\t至\t联\t系\t人\t列\t表";"邀\t请\t至\t好\t友\t列\t表";"Zaproś do listy kontaktów"
"Invite to friends/ps4";"Invite to your contacts list";"Пригласить в контакты";"Zu deiner Freundesliste einladen";"Inviter dans la liste des contacts";"Invitar a tu lista de contactos";"フレンドリストに\t招待";"친구 목록에 초대";"邀\t请\t至\t联\t系\t人\t列\t表";"邀\t请\t至\t好\t友\t列\t表";"Zaproś do listy kontaktów"
"contacts/psn/friends/request";"Friend request";"Запрос на добавление Друга";"Freundschaftsanfrage";"Demande d'ami";"Solicitud de amistad";"フレンドリクエスト";"친구 요청";"好\t友\t邀\t请";"好\t友\t请\t求";"Zaproszenie do grona znajomych"
"BLACKLISTED";"You are blocked";"Вы в списке заблокированных";"Du bist blockiert";"Vous avez été bloqué";"Estas bloqueado";"ブロックされています";"당신은 차단되었습니다";"您\t已\t被\t屏\t蔽";"您\t已\t被\t屏\t蔽";"Zostałeś zablokowany"
"contact/Invited";"Invited";"Приглашён";"Eingeladen";"Invité";"Invitado";"招待済";"초대됨";"已\t邀\t请";"已\t邀\t请";"Zaproś"
"contact/Online";"Online";"В сети";"Online";"En ligne";"Conectado";"オンライン";"온라인";"在\t线";"在\t线";"Online"
"contact/Offline";"Offline";"Не в сети";"Offline";"Hors ligne";"Desconectado";"オフライン";"오프라인";"离\t线";"离\t线";"Offline"
"contact/Unknown";"Unknown";"Неизвестен";"Unbekannt";"Inconnu";"Desconocido";"不明";"알 수 없음";"未\t知";"未\t知";"Nieznany"
"contact/addInList";"User {user} has been added to the list {listName}";"Игрок {user} был добавлен в список {listName}";"Der Benutzer {user} wurde der Liste {listName} hinzugefügt.";"L'utilisateur {user} a été ajouté à la liste {listName}";"El usuario {user} ha sido añadido a la lista {listName}";"ユーザー「{user}」\tが\tリスト「{listName}」\tに\t追加されました";"사용자 {user} 님을 {listName} 목록에 추가했습니다";"已\t将 {user} 添\t加\t到 {listName} 名\t单";"已\t将 {user} 添\t加\t到 {listName} 名\t单";"Użytkownik {user} został dodany do listy {listName}"
"contact/delInList";"User {user} has been removed from the list {listName}";"Игрок {user} был удалён из списка {listName}";"Der Benutzer {user} wurde von der Liste {listName} entfernt.";"L'utilisateur {user} a été retiré de la liste {listName}";"El usuario {user} ha sido removido de la lista {listName}";"ユーザー「{user}」\tは\tリスト「{listName}」\tから\t削除されました";"사용자 {user} 님을 {listName} 목록에서 제외했습니다";"已\t将 {user} 从 {listName} 名\t单\t删\t除";"已\t将 {user} 从 {listName} 名\t单\t删\t除";"Użytkownik {user} został usunięty z listy {listName}"
"contact/movedToList";"User {user} has been moved to the list {listName}";"Игрок {user} перемещён в список {listName}";"Der Benutzer {user} wurde auf die Liste {listName} versetzt.";"L'utilisateur {user} a été déplacé vers la liste {listName}";"El usuario {user} ha sido movido a la lista {listName}";"ユーザー「{user}」\tは\tリスト「{listName}」\tに\t移動されました";"사용자 {user} 님을 {listName} 목록으로 이동했습니다";"已\t将 {user} 添\t加\t到 {listName} 名\t单";"已\t将 {user} 添\t加\t到 {listName} 名\t单";"Użytkownik {user} został przeniesiony do listy {listName}"
